ActivityID,ActivityName,FacilityActivityDescription,FacilityID
14,HIKING,Hiking,266135
15,HORSEBACK RIDING,Horseback Riding,266135
26,WILDLIFE VIEWING,Wildlife Viewing,266135
5,BIKING,,237997
9,CAMPING,,237997
14,HIKING,,237997
15,HORSEBACK RIDING,,237997
18,OFF HIGHWAY VEHICLE,,237997
23,RECREATIONAL VEHICLES,"<p>
	Powell Springs Campground can accomodate RVs up to 22' in length, but there are no hook-ups.</p>
",237997
9,CAMPING,,250775
11,FISHING,,250775
14,HIKING,,250775
5,BIKING,Biking,234626
9,CAMPING,Camping,234626
11,FISHING,Fishing,234626
14,HIKING,Hiking,234626
20,PICNICKING,Picnicking,234626
24,VISITOR CENTER,Visitor Center,234626
26,WILDLIFE VIEWING,Wildlife Viewing,234626
100004,RANGER STATION,Ranger Station,234626
100029,SCENIC DRIVE,Scenic Drive,234626
5,BIKING,Mountain Biking,273335
6,BOATING,Canoeing,273335
7,CLIMBING,Rock Climbing,273335
9,CAMPING,Camping,273335
11,FISHING,Fishing,273335
14,HIKING,Hiking,273335
6,BOATING,Boating,232193
9,CAMPING,Camping,232193
11,FISHING,Fishing,232193
14,HIKING,Hiking,232193
20,PICNICKING,Picnic Tables,232193
32,DAY USE AREA,Amphitheater,232193
8,HISTORIC & CULTURAL SITE,Historic Sites,233227
9,CAMPING,Camping,233227
14,HIKING,Hiking,233227
24,VISITOR CENTER,Ranger Station,233227
26,WILDLIFE VIEWING,Wildlife Viewing,233227
9,CAMPING,Camping,233177
14,HIKING,Hiking,233177
15,HORSEBACK RIDING,Horseback Riding,233177
26,WILDLIFE VIEWING,Wildlife Viewing,233177
100002,MOUNTAIN BIKING,Mountain Biking,233177
100017,BIRDING,Birding,233177
100041,ROCK CLIMBING,Rock Climbing,233177
100072,MUSEUM,Museum,233177
4,AUTO TOURING,,275056
9,CAMPING,,275056
20,PICNICKING,,275056
26,WILDLIFE VIEWING,,275056
5,BIKING,Mountain Biking,233178
8,HISTORIC & CULTURAL SITE,Historic Sites,233178
9,CAMPING,Camping,233178
14,HIKING,Hiking,233178
15,HORSEBACK RIDING,Horseback Riding,233178
26,WILDLIFE VIEWING,Wildlife Viewing,233178
5,BIKING,Mountain Biking,234459
9,CAMPING,Camping,234459
14,HIKING,Hiking,234459
16,HUNTING,Hunting,234459
26,WILDLIFE VIEWING,Wildlife Viewing,234459
5,BIKING,Mountain Biking,234456
9,CAMPING,Camping,234456
14,HIKING,Hiking,234456
16,HUNTING,Hunting,234456
26,WILDLIFE VIEWING,Wildlife Viewing,234456
8,HISTORIC & CULTURAL SITE,Archeological Sites,233402
9,CAMPING,Camping,233402
10,INTERPRETIVE PROGRAMS,Educational Programs,233402
14,HIKING,Hiking,233402
26,WILDLIFE VIEWING,Wildlife Viewing,233402
5,BIKING,"<p>
	Coleman Trail #108, Gaddes Canyon Trail #110, and Yeagar Canyon Trail # 28 allow use of  mountain bikes.</p>
",237976
9,CAMPING,"<p>
	Potato Patch Campground and Mingus Mountain Campground</p>
",237976
11,FISHING,,237976
14,HIKING,"<p>
	All designated trails on Mingus Mountain are open to hikers.</p>
",237976
15,HORSEBACK RIDING,"<p>
	All designated trails on Mingus Mountain are open to horse riding.</p>
",237976
20,PICNICKING,"<p>
	Summit, Viewpoint, and Mingus Day-Use areas each have several picnic tables annd charcoal grills.  Mingus Lake has one picnic table, sheltered by a ramada, but no grill.</p>
",237976
23,RECREATIONAL VEHICLES,"<p>
	Potato Patch Campground has 12 sites with electrical hook-ups for RVs.  Mingus Mountain Campground has 19 sites with electrical hook-ups.</p>
",237976
106,SWIMMING,"<p>Please see the <a href=""https://www.fs.usda.gov/detail/prescott/news-events/?cid=FSEPRD792719"" rel=""nofollow""><strong>news release dated August 28</strong></a>, 2020 for more information about swimming in the lakes on the Forest.</p>
",237976
9,CAMPING,Camping,232289
14,HIKING,Hiking,232289
15,HORSEBACK RIDING,Horseback Riding,232289
20,PICNICKING,Picnic Tables,232289
6,BOATING,Boating,232205
9,CAMPING,Camping,232205
11,FISHING,Fishing,232205
5,BIKING,Biking,233400
9,CAMPING,Camping,233400
11,FISHING,Fishing,233400
14,HIKING,Hiking,233400
20,PICNICKING,Picnicking,233400
24,VISITOR CENTER,Visitor Center,233400
26,WILDLIFE VIEWING,Wildlife Viewing,233400
100004,RANGER STATION,Ranger Station,233400
100029,SCENIC DRIVE,Scenic Drive,233400
9,CAMPING,,12812
14,HIKING,,12812
16,HUNTING,,12812
26,WILDLIFE VIEWING,,12812
28,WILDERNESS,,12812
9,CAMPING,Camping,272097
14,HIKING,Hiking,272097
15,HORSEBACK RIDING,Horseback Riding,272097
25,WATER SPORTS,Whitewater Rafting,272097
5,BIKING,,238003
6,BOATING,,238003
9,CAMPING,,238003
10,INTERPRETIVE PROGRAMS,,238003
11,FISHING,,238003
14,HIKING,,238003
16,HUNTING,"<p>Big Game Hunting is regulated by the state of Arizona and allowed on the Kaibab National Forest during open seasons with applicable permits. Contact the <a href=""http://www.azgfd.gov"" rel=""nofollow"">Arizona Game and Fish Department</a> for more information on open dates and regulations.</p>",238003
20,PICNICKING,,238003
22,WINTER SPORTS,,238003
24,VISITOR CENTER,,238003
26,WILDLIFE VIEWING,,238003
30,FIRE LOOKOUTS/CABINS OVERNIGHT,,238003
109,HORSE CAMPING,,238003
5,BIKING,Biking,249312
6,BOATING,Boating,249312
9,CAMPING,Camping,249312
11,FISHING,Fishing,249312
14,HIKING,Hiking,249312
20,PICNICKING,Picnicking,249312
26,WILDLIFE VIEWING,Wildlife Viewing,249312
105,PADDLING,Paddling,249312
100007,KAYAKING,Kayaking,249312
100008,CANOEING,Canoeing,249312
100029,SCENIC DRIVE,Scenic Drive,249312
9,CAMPING,"<ul>
	<li>
		4 family units</li>
	<li>
		Tent and trailers up to 16 foot</li>
</ul>
",241562
20,PICNICKING,,241562
5,BIKING,Biking,233887
9,CAMPING,Camping,233887
11,FISHING,Fishing,233887
14,HIKING,Hiking,233887
15,HORSEBACK RIDING,Horseback Riding,233887
26,WILDLIFE VIEWING,Wildlife Viewing,233887
9,CAMPING,Camping,233221
11,FISHING,Fishing,233221
14,HIKING,Hiking,233221
16,HUNTING,Hunting,233221
20,PICNICKING,Picnicking,233221
24,VISITOR CENTER,Ranger Station,233221
26,WILDLIFE VIEWING,Wildlife Viewing,233221
5,BIKING,Biking,249291
6,BOATING,Boating,249291
9,CAMPING,Camping,249291
11,FISHING,Fishing,249291
14,HIKING,Hiking,249291
20,PICNICKING,Picnicking,249291
26,WILDLIFE VIEWING,Wildlife Viewing,249291
104,PHOTOGRAPHY,Photography,249291
105,PADDLING,Paddling,249291
100000,MOTOR BOAT,Motor Boat,249291
100007,KAYAKING,Kayaking,249291
100008,CANOEING,Canoeing,249291
100018,NON-MOTORIZED BOATING,Non-Motorized Boating,249291
100043,AMPHITHEATER,Amphitheater,249291
5,BIKING,,237979
9,CAMPING,"<p>
	Hazlett Hollow Campground</p>
",237979
11,FISHING,"<p>Horsethief Lake is not stocked with fish, but patient anglers may catch bass, catfish, channel catfish, and sunfish. A valid fishing or combination license is required for resident and non-resident anglers 10 years of age or older fishing any public accessible water in Arizona.</p>
",237979
14,HIKING,"<p>
	All designated trails in the Crown King area allow hikers.</p>
",237979
15,HORSEBACK RIDING,,237979
18,OFF HIGHWAY VEHICLE,,237979
106,SWIMMING,"<p>Please see the <a href=""https://www.fs.usda.gov/detail/prescott/news-events/?cid=FSEPRD792719"" rel=""nofollow""><strong>news release dated August 28</strong></a>, 2020 for more information about swimming in the lakes on the Forest.</p>
",237979
9,CAMPING,Camping,234287
11,FISHING,Fishing,234287
106,SWIMMING,Swimming,234287
9,CAMPING,Camping,234564
14,HIKING,Hiking,234564
5,BIKING,Mountain Biking,232200
6,BOATING,Boating,232200
9,CAMPING,Camping,232200
11,FISHING,Fishing,232200
14,HIKING,Hiking,232200
9,CAMPING,,10074565
20,PICNICKING,,10074565
9,CAMPING,Camping,274288
5,BIKING,Biking,232490
9,CAMPING,Camping,232490
26,WILDLIFE VIEWING,Wildlife Viewing,232490
104,PHOTOGRAPHY,Photography,232490
109,HORSE CAMPING,Horse Camping,232490
100004,RANGER STATION,Ranger Station,232490
100015,STAR GAZING,Star Gazing,232490
5,BIKING,Mountain Biking,251964
6,BOATING,Canoeing,251964
9,CAMPING,Camping,251964
11,FISHING,Fishing,251964
14,HIKING,Hiking,251964
9,CAMPING,Camping,234488
14,HIKING,Hiking,234488
20,PICNICKING,Picnic Tables,234488
5,BIKING,"<p>
	Trails in the Granite Mountain Wilderness Area are off limits to bicycles or other mechanized equipment, but cyclists can enjoy many trails in the area. </p>
",237904
9,CAMPING,,237904
11,FISHING,"<p>Granite Basin Lake is a small (5 acre) lake.  It is not stocked with fish, but patient anglers may catch bluegill, largemouth bass and catfish.  A valid fishing or combination license is required for resident and non-resident anglers 10 years of age or older fishing any public accessible water in Arizona.</p>
",237904
14,HIKING,,237904
15,HORSEBACK RIDING,"<p>
	Cayuse Equestrian Trailhead has ample room for trailer parking and turn-around.</p>
",237904
20,PICNICKING,,237904
23,RECREATIONAL VEHICLES,"<p>
	Yavapai Campground accomodates trailers up to 40' in length, but there are no hook-ups.</p>
",237904
106,SWIMMING,"<p>Please see the <a href=""https://www.fs.usda.gov/detail/prescott/news-events/?cid=FSEPRD792719"" rel=""nofollow""><strong>news release dated August 28</strong></a>, 2020 for more information about swimming in the lakes on the Forest.</p>
",237904
5,BIKING,Mountain Biking,234550
8,HISTORIC & CULTURAL SITE,Historic Sites,234550
9,CAMPING,Camping,234550
14,HIKING,Hiking,234550
16,HUNTING,Hunting,234550
26,WILDLIFE VIEWING,Wildlife Viewing,234550
32,DAY USE AREA,Amphitheater,234550
5,BIKING,Biking,234627
9,CAMPING,Camping,234627
11,FISHING,Fishing,234627
14,HIKING,Hiking,234627
20,PICNICKING,Picnicking,234627
24,VISITOR CENTER,Visitor Center,234627
26,WILDLIFE VIEWING,Wildlife Viewing,234627
100004,RANGER STATION,Ranger Station,234627
100029,SCENIC DRIVE,Scenic Drive,234627
4,AUTO TOURING,,264716
5,BIKING,"<p>
	<a href=""https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5357418.pdf"" rel=""nofollow"">13 Great Rides! Mountain Biking and Hiking in the Redrocks! (PDF)</a> is a printable brochure with maps and descriptions of some great places to ride in the Red Rock District.</p>
<p>
	<a href=""https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5374932.pdf"" rel=""nofollow"">Trails Planning (2012) - Red Rock Ranger District (PDF)</a></p>
<p>
	The Red Rock Ranger District has proposed studying new trails and trailheads for potential addition to the District’s official trail system. This proposal has generated discussion about trails and trails planning. </p>
",264716
9,CAMPING,"<p>
	<a href=""/detail/coconino/passes-permits/recreation/?cid=stelprdb5328312"" rel=""nofollow"">America the Beautiful Senior and Access passes</a> are accepted for a 50% discount on single-site camping fees.</p>
",264716
10,INTERPRETIVE PROGRAMS,,264716
14,HIKING,,264716
15,HORSEBACK RIDING,,264716
18,OFF HIGHWAY VEHICLE,,264716
20,PICNICKING,,264716
24,VISITOR CENTER,,264716
26,WILDLIFE VIEWING,,264716
30,FIRE LOOKOUTS/CABINS OVERNIGHT,,264716
106,SWIMMING,{},264716
109,HORSE CAMPING,,264716
9,CAMPING,Camping,250027
14,HIKING,Hiking,250027
6,BOATING,Boating,232203
9,CAMPING,Camping,232203
11,FISHING,Fishing,232203
14,HIKING,Hiking,232203
20,PICNICKING,Picnic Tables,232203
32,DAY USE AREA,Amphitheater,232203
6,BOATING,Boating,262678
9,CAMPING,Camping,262678
11,FISHING,Fishing,262678
14,HIKING,Hiking,262678
18,OFF HIGHWAY VEHICLE,OHV,262678
34,SWIMMING SITE,Swimming,262678
9,CAMPING,Camping,234759
15,HORSEBACK RIDING,Horseback Riding,234759
24,VISITOR CENTER,Ranger Station,234759
6,BOATING,Boating,232190
9,CAMPING,Camping,232190
10,INTERPRETIVE PROGRAMS,Interpretive Programs,232190
14,HIKING,Hiking,232190
20,PICNICKING,Picnicking,232190
105,PADDLING,Paddling,232190
100008,CANOEING,Canoeing,232190
100026,EVENING PROGRAMS,Evening Programs,232190
100027,GUIDED INTERPRETIVE WALKS,Guided Interpretive Walks,232190
100043,AMPHITHEATER,Amphitheater,232190
5,BIKING,,241547
6,BOATING,"<p>
	10 horsepower and less - Luna Lake Recreation Area</p>
",241547
9,CAMPING,,241547
11,FISHING,,241547
14,HIKING,,241547
15,HORSEBACK RIDING,,241547
16,HUNTING,,241547
18,OFF HIGHWAY VEHICLE,,241547
20,PICNICKING,,241547
26,WILDLIFE VIEWING,,241547
30,FIRE LOOKOUTS/CABINS OVERNIGHT,,241547
9,CAMPING,,241582
5,BIKING,Biking,233233
9,CAMPING,Camping,233233
11,FISHING,Fishing,233233
14,HIKING,Hiking,233233
15,HORSEBACK RIDING,Horseback Riding,233233
20,PICNICKING,Picnicking,233233
24,VISITOR CENTER,Visitor Center,233233
26,WILDLIFE VIEWING,Wildlife Viewing,233233
100004,RANGER STATION,Ranger Station,233233
100029,SCENIC DRIVE,Scenic Drive,233233
9,CAMPING,Camping,10000305
14,HIKING,Hiking,10000305
20,PICNICKING,Picnicking,10000305
26,WILDLIFE VIEWING,Wildlife Viewing,10000305
32,DAY USE AREA,Day Use Area,10000305
103,ENVIRONMENTAL EDUCATION,Environmental Education,10000305
104,PHOTOGRAPHY,Photography,10000305
100017,BIRDING,Birding,10000305
100019,WATER ACCESS,Water Access,10000305
100036,BACKPACKING,Backpacking,10000305
5,BIKING,Biking,233220
8,HISTORIC & CULTURAL SITE,Historic Sites,233220
9,CAMPING,Camping,233220
10,INTERPRETIVE PROGRAMS,Educational Programs,233220
14,HIKING,Hiking,233220
20,PICNICKING,Picnicking,233220
24,VISITOR CENTER,Emergency Services,233220
26,WILDLIFE VIEWING,Wildlife Viewing,233220
9,CAMPING,Camping,251764
9,CAMPING,Camping,234708
20,PICNICKING,Picnic Tables,234708
5,BIKING,Biking,233888
9,CAMPING,Camping,233888
11,FISHING,Fishing,233888
14,HIKING,Hiking,233888
16,HUNTING,Hunting,233888
26,WILDLIFE VIEWING,Wildlife Viewing,233888
34,SWIMMING SITE,Swimming,233888
9,CAMPING,Camping,232194
11,FISHING,Fishing,232194
14,HIKING,Hiking,232194
26,WILDLIFE VIEWING,Wildlife Viewing,232194
104,PHOTOGRAPHY,Photography,232194
106,SWIMMING,Swimming,232194
100017,BIRDING,Birding,232194
6,BOATING,Boating,232195
9,CAMPING,Camping,232195
