"FacilityName","FacilityPhone","GEOJSON","Reservable","FacilityStreetAddress1","FacilityStreetAddress2","City","AddressStateCode","PostalCode","CampsiteAccessible","CampsiteName","CampsiteReservable","Loop","TypeOfUse"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"053",True,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"003",True,"TENT","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"070",True,"Loop E","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"063",True,"Loop E","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"066",True,"Loop E","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"011",False,"Loop A","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"058",True,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"054",True,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"KSG-3",True,"G","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"005",True,"TENT","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"057",True,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"056",True,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"026",False,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"020",True,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"006",True,"Loop A","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"009",True,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"048",True,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"013",False,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"059",False,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"037",True,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"024",True,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"029",True,"Loop A","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"052",False,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"040",False,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"033",True,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"018",True,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"004",False,"TENT","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"071",True,"Loop E","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"015",False,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"027",True,"Loop A","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"008",False,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"002",False,"TENT","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"042",False,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"010",True,"Loop A","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"051",True,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"022",True,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"064",False,"Loop E","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"039",False,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"043",False,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"016",True,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",False,"KG2",True,"G","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"035",True,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"030",False,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"014",True,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"001",True,"TENT","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"045",True,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"046",True,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"012",True,"Loop A","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"034",True,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"028",True,"Loop A","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"007",True,"Loop A","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"068",True,"Loop E","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"055",True,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"031",True,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"049",False,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"047",True,"Loop D","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"022",False,"A","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"084",False,"E","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"032",False,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"030",False,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"082",False,"E","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"073",True,"E","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"077",False,"E","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"083",True,"E","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"031",True,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"059",True,"D","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"001",True,"A","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"063",True,"D","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"052",True,"C","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"Wgroup",True,"F","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"012",True,"A","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"043",True,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"011",True,"A","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"017",False,"A","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"086",True,"E","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"042",True,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"047",False,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"009",False,"A","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"036",True,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"025",False,"A","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"045",False,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"006",True,"A","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"058",True,"C","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"062",True,"D","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"071",True,"E","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"049",True,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"034",True,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"053",True,"C","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"015",True,"A","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"035",True,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"080",True,"E","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"039",True,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"044",True,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"068",True,"D","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"069",True,"D","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"040",False,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"018",True,"A","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"066",True,"D","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"072",True,"E","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"026",True,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"014",True,"A","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"050",True,"B","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"085",False,"E","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"008",True,"A","Overnight"
"WHITE HORSE LAKE Campground","928-699-1239","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"003",True,"A","Overnight"
